panel	gid	tpm_Ar	tpm_As	tpm_Br	tpm_Bs	tpm_Hr	tpm_Hs	SS_Ar_As	SS_Br_Bs	SS_As_Bs	SS_Hs_As	SS_Hs_Bs	SS_Hs_Ms	tag	link
variable (1042)	Zm00001d043625	52.43036917466597	32.02994406394867	44.86930583577658	15.832802103519871	31.965491218062482	19.499111389500687	0.08351087649780839	0.05427192276749797	0.10118358728528219	0.06621827638776792	0.15797979797979797	0.05405298065848524	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043625.json
variable (1042)	Zm00001d043649	36.517070871303	27.008521630021818	57.623331210695824	13.516670345018719	61.89681481315735	14.398230305666056	0.05730979403110554	0.09455906533602168	0.10059701492537311	0.068034188034188	0.15837479270315089	0.07067227962750346	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043649.json
variable (1042)	Zm00001d043776	10.482038636419844	8.268871580288064	10.555857313237823	5.435116556486414	11.526949863483138	4.281841269207987	0.06125046535261149	0.095383185292295	0.19295895541798885	0.24790049962793664	0.3291705211224175	0.24657134519988325	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043776.json
variable (1042)	Zm00001d043850	19.871479759062094	6.635832994650877	10.769520729114012	4.432030548175414	8.33040074167689	6.423678425663314	0.08025544985163618	0.07051282051282051	0.13949736797418916	0.14251395922607452	0.09351432880844643	0.12559618441971382	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043850.json
variable (1042)	Zm00001d043942	8.877437023245198	4.542983155040864	6.462898043713461	4.0869738375578235	2.2278978727740517	5.187988966105164	0.09418403388542558	0.06380300023472676	0.12184929397791758	0.25911146581537636	0.20284964379452564	0.21580547112462004	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043942.json
variable (1042)	Zm00001d043984	45.17168429959642	45.50195740295874	43.05870986758763	21.727481233997263	51.435381323609626	44.7889590762365	0.09601962795468323	0.09558051475896102	0.19609072350548942	0.11615761987656274	0.07993310362892667	0.09116486561842552	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043984.json
variable (1042)	Zm00001d043988	3.8575078592906014	1.2792970513888244	14.162127936773901	4.841993306982013	1.2592466237418554	2.9828521357888906	0.04081632653061226	0.05555057975707386	0.3176148463644661	0.12074303405572757	0.1968718123087385	0.18510900863842042	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d043988.json
variable (1042)	Zm00001d044024	12.515111871375753	14.255670330996473	8.810468710413671	6.562448828584847	3.777739871225566	4.249247558605691	0.042368329868329876	0.05521176212420453	0.10535566583953676	0.12639353400222963	0.07807386629266011	0.10638168310802579	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044024.json
variable (1042)	Zm00001d044035	32.238426132052105	19.685677266324255	86.64470716694906	22.819936230242195	101.1271903989613	4.534725973151038	0.08557748855762103	0.07082242558491632	0.12362404421227952	0.08976833976833974	0.17864334923158456	0.125765043600715	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044035.json
variable (1042)	Zm00001d044042	8.681668347200068	4.068871105893978	15.309941987955233	7.386266996197145	5.0369864949674215	2.4306166681438413	0.08577498450916173	0.055361877898562346	0.3340210784587074	0.32781564427134047	0.16683610075680566	0.1515413425525785	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044042.json
variable (1042)	Zm00001d044096	39.47771181172093	55.60119985881166	32.841687898154476	128.17422855630505	7.942940242064011	347.5344497949018	0.031022838095515346	0.08320655332348706	0.1866816416244106	0.19895580998815116	0.03170804687817839	0.04461439232696446	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044096.json
variable (1042)	Zm00001d044261	44.943830882058045	39.019620477600135	39.58105152577449	29.95405361891963	69.35542943070526	24.219818325268847	0.024431943076259177	0.06616564873360926	0.10292581125514538	0.03144264730798798	0.12951450231455594	0.022762070021435106	variable	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/Zm00001d044261.json
